dafbin3,vargerp
0.455,0.87586678120454
0.286,1.11461776624035
0.485,0.794125213844311
0.486,0.746391814577637
0.432,0.782049747888721
0.454,0.838648167735137
0.384,0.889633004690929
0.446,0.759013710583612
0.472,0.853853852375402
0.345,0.664744143311539
0.341,0.835892319691033
0.343,0.810922004644053
0.18,0.88624362432725
0.162,0.824959579375875
0.175,0.809902098506019
0.183,0.867326356824
0.182,0.744640702976653
0.448,1.04538641550578
0.229,0.786925099071863
0.226,0.771655977928781
0.453,0.962918128509839
0.452,1.02070641549114
0.285,1.05991326799573
0.154,0.880169765023063
0.434,0.885162838850866
0.475,1.17565214242391
0.459,0.988856182050319
0.451,0.953673471763465
0.186,0.824036181754173
0.362,0.802008753335464
0.184,0.741221223558527
0.29,0.861491140003751
0.271,0.964952112567969
0.188,0.839011074554719
0.174,0.859811345899891
0.444,0.613844752946113
0.296,0.77765960542653
0.147,0.73465348281334
0.193,0.795750303252329
0.473,0.861301356279411
0.463,0.962517533042312
0.471,1.11738395742842
0.482,0.932583318804482
0.457,0.82698433966515
0.491,0.839890956519506
0.126,0.778731383617515
0.417,1.01385733722508
0.419,0.741094564374893
0.293,0.71996358976703
0.389,0.909272327076448
0.16,0.739324429550896
0.387,0.891762838363386
0.415,0.8710163178505
0.439,1.29103098362543
0.391,0.790816572601607
0.239,0.768112981418969
0.431,1.07074812225749
0.128,0.803248798093611
0.196,1.12408452753564
0.254,0.689916429027554
0.138,0.859185486792691
0.159,0.884609812630163
0.148,0.759730581126666
0.474,0.626594013940764
0.48,0.948234633335239
0.489,0.819151509575049
0.405,0.756027944775214
0.123,0.818845905943652
0.377,0.959435046066826
0.438,0.800055342035903
0.47,0.790115136875445
0.404,0.75761221914743
0.4,0.86582811689196
0.351,0.801467351610345
0.411,0.778526780419229
0.428,0.876842469615609
0.191,0.871143289021966
0.484,0.762566727674129
0.44,0.833242430968657
0.479,0.783168943334007
0.256,0.801905172066131
0.497,1.20175460770883
0.39,0.680565793049509
0.195,0.842163068020347
0.49,1.03723327299808
0.266,0.916933597444845
0.181,0.715757815511625
0.314,0.75791032192213
0.283,0.830262804967517
0.433,0.971855436887098
0.421,0.899291618778019
0.294,0.745719695321345
0.157,0.898609621234627
0.5,1.03100754916216
0.168,0.837182105452905
0.487,1.14350152675661
0.402,0.886636743452828
0.435,0.952678355251098
0.436,0.797649767174563
0.442,0.873100761620363
0.492,0.830449676992191
0.329,0.860793737984119
0.495,0.997302136018355
0.423,0.663874245964875
0.169,0.812764471131511
0.119,0.821903555342108
0.393,1.02062200877915
0.382,0.889386181886679
0.383,1.00109120469502
0.422,0.874849761564373
0.365,0.894669916036628
0.346,0.735268489815243
0.45,0.597006478712674
0.392,0.720961880369286
0.38,0.820562539169065
0.374,0.823248929127997
0.488,0.932916737659331
0.681,0.981153560104916
0.706,0.738162272023493
